im_name,tf,genes,size
CysB-1,CysB,"['b0828', 'b0829', 'b0830', 'b1287', 'b1729', 'b1917', 'b1918', 'b1919', 'b1920', 'b1987', 'b2012', 'b2013', 'b2157', 'b2414', 'b2421', 'b2422', 'b2423', 'b2424', 'b2425', 'b2749', 'b2750', 'b2751', 'b2752', 'b2762', 'b2763', 'b2764', 'b3661', 'b3917', 'b4720', 'b4721', 'b4326']",31
CueR/CusR/HprR,CueR/CusR/HprR,"['b0123', 'b0484', 'b0570', 'b0571', 'b0572', 'b0573', 'b0574', 'b0575', 'b0576', 'b1968', 'b1969']",11
YieP,YieP,"['b0306', 'b0307', 'b0308', 'b1206', 'b1661', 'b2141', 'b2142', 'b2143', 'b3755', 'b4116']",10
PhoB-1,PhoB,"['b0241', 'b0383', 'b0399', 'b0400', 'b3723', 'b3724', 'b3725', 'b3726', 'b3727', 'b3728']",10
Curli,BasR+Cra+Crp+CsgD+IHF+MlrA+OmpR+ppGpp+RcdA+CpxR+FliZ+H-NS+MqsA+BtsR+RcsAB+RstA,"['b1037', 'b1038', 'b1039', 'b1040']",4
Fnr-1,Fnr,"['b0894', 'b0895', 'b0896', 'b0903', 'b1127', 'b1256', 'b1257', 'b1258', 'b1474', 'b1587', 'b1588', 'b1589', 'b1590', 'b1751', 'b1752', 'b1753', 'b1754', 'b1757', 'b1797', 'b2727', 'b2728', 'b2729', 'b2730', 'b2995', 'b2996', 'b3159', 'b3366', 'b3367', 'b3408', 'b3410', 'b3476', 'b3479', 'b3518', 'b4122', 'b4151', 'b4152', 'b4153', 'b4154', 'b4237', 'b4238', 'b4715', 'b4334', 'b4379']",43
TdcAR/CadC,TdcA/TdcR/CadC,"['b0114', 'b2579', 'b4471', 'b3113', 'b3114', 'b3115', 'b3116', 'b3117', 'b3118', 'b4130', 'b4131', 'b4132']",12
Fimbriae,Lrp+H-NS,"['b4314', 'b4315', 'b4316', 'b4317', 'b4318', 'b4319', 'b4320']",7
UTP,PurR,"['b0032', 'b0033', 'b0034', 'b0336', 'b0337', 'b0945', 'b2497', 'b2498', 'b4243', 'b4244', 'b4245', 'b4246']",12
Fnr+NarL,Fnr+NarL,"['b1223', 'b1224', 'b1225', 'b1226', 'b1227', 'b1228', 'b1474', 'b1475', 'b2207', 'b2208', 'b3367', 'b3369']",12
GalRS,GalR+GalS+Crp,"['b0756', 'b0757', 'b0758', 'b0759', 'b2148', 'b2943']",6
BtsR,BtsR,"['b0115', 'b4352', 'b4353', 'b4354']",4
PyrR,PyrR,['b3547'],1
PlaR,PlaR+IHF+Crp,"['b3573', 'b3574', 'b3575', 'b3576', 'b3577', 'b3578', 'b3579', 'b3580', 'b3581', 'b3582', 'b3583']",11
FhlA,RpoN+FhlA,"['b2713', 'b2720', 'b2721', 'b2722', 'b2723', 'b2724', 'b2725', 'b4079']",8
RhaS,Crp+RhaS,"['b4662', 'b3901', 'b3902', 'b3903', 'b3904', 'b3905', 'b3906', 'b3907']",8
sokB/rdlD,sokB/rdlD,"['b1420', 'b4453']",2
NanR,NanR,"['b2838', 'b3221', 'b3222', 'b3223', 'b3224', 'b3225', 'b4279', 'b4280', 'b4309', 'b4311']",10
FadR,FadR,"['b0221', 'b0443', 'b0557', 'b0954', 'b4520', 'b1187', 'b1551', 'b2341', 'b2342', 'b3081', 'b3845', 'b3846', 'b3963']",13
NrdR,NrdR,"['b2673', 'b2674', 'b2675', 'b2676', 'b4237', 'b4238']",6
GlcC,IHF+ArcA+PdhR+GlcC,"['b2975', 'b2976', 'b2977', 'b4467', 'b4468', 'b2979']",6
BaeR+CpxR,BaeR+CpxR,"['b1600', 'b1743', 'b2074', 'b2075', 'b2076', 'b2078', 'b2079', 'b2838', 'b3912', 'b4484']",10
NikR+Fnr+NarL,NikR+Fnr+NarL+RpoN,"['b3476', 'b3477', 'b3478', 'b3479', 'b3480']",5
Isoleucine,Ile-tRNA+ppGpp,"['b0003', 'b0004', 'b4488', 'b3769', 'b3770', 'b3771', 'b3772']",7
PspF,RpoN+IHF+PspF,"['b1304', 'b1305', 'b1306', 'b1307', 'b1743', 'b4050']",6
OxyR,OxyR,"['b0006', 'b0475', 'b0605', 'b0606', 'b0812', 'b0849', 'b0881', 'b1619', 'b1663', 'b1824', 'b2582', 'b3425', 'b3518', 'b3519', 'b3942', 'b3943', 'b3961', 'b4367']",18
Tryptophan,TrpR/Trp-tRNA/L-tryptophan,"['b1260', 'b1261', 'b1262', 'b1263', 'b1264', 'b1704', 'b3161', 'b3708', 'b3709']",9
CsqR,CsqR,"['b2626', 'b3875', 'b3876', 'b3877', 'b3878', 'b3879', 'b3880', 'b3881', 'b3882', 'b3883', 'b3884']",11
CueR,CueR,"['b0123', 'b0484', 'b1596', 'b4484']",4
LldR+ArcA,ArcA+LldR,"['b3603', 'b3604', 'b3605']",3
Thiamine-1,Thiamine diphosphate,"['b0068', 'b2103', 'b2104', 'b3990', 'b3991', 'b4407', 'b3992', 'b3993', 'b3994']",9
PuuR,RpoS+ArcA+PuuR,"['b1296', 'b4742', 'b1297', 'b1298', 'b1299', 'b1300', 'b1301', 'b1302']",8
YcjW,YcjW,"['b0197', 'b1309', 'b1310', 'b1311', 'b1312', 'b1313', 'b1314', 'b1315', 'b1316', 'b1317', 'b1318', 'b1319', 'b1320', 'b1596', 'b1686', 'b1687', 'b3769']",17
NsrR,NsrR,"['b0872', 'b0873', 'b0992', 'b1430', 'b1476', 'b1796', 'b1797', 'b2125', 'b2552', 'b2732', 'b4209']",11
GntR,GntR,"['b1101', 'b1850', 'b1851', 'b3415', 'b4476', 'b3437', 'b3892', 'b3893', 'b4264', 'b4265', 'b4266', 'b4267', 'b4268']",13
Fnr+NarLP,Fnr+NarP+NarL,"['b1226', 'b2194', 'b2195', 'b2196', 'b2197', 'b2198', 'b2199', 'b2200', 'b2201', 'b2202', 'b2203', 'b2204', 'b2205', 'b2206', 'b2207', 'b2208', 'b3365', 'b3366', 'b3367', 'b4070', 'b4071', 'b4072', 'b4073']",23
