,model,im,train_auc,test_auc
0,LR,AllR/AraC/FucR,0.9994031187047676,0.8992248062015504
1,LR,AllR/AraC/FucR,0.9994031187047675,0.67312661498708
2,LR,AllR/AraC/FucR,0.9999067372976199,1.0
3,LR,AllR/AraC/FucR,0.9998990143803522,0.3672330097087379
4,LR,AllR/AraC/FucR,0.9997949215108691,0.5268608414239482
0,LR,ArcA,0.9952791230243645,0.8031189083820662
1,LR,ArcA,0.9971280549611442,0.4299870045484081
2,LR,ArcA,0.9976585365853659,0.5379464285714286
3,LR,ArcA,0.9975121951219512,0.5283203124999999
4,LR,ArcA,0.9994652908067543,0.7076822916666667
0,LR,ArgR,1.0,0.8349514563106797
1,LR,ArgR,1.0,1.0
2,LR,ArgR,1.0,0.9067961165048544
3,LR,ArgR,1.0,1.0
4,LR,ArgR,1.0,0.9747081712062257
0,LR,ArgP,0.9799356483729965,0.6888349514563107
1,LR,ArgP,0.9975412821758136,0.7276699029126213
2,LR,ArgP,0.9969949004371055,0.9048543689320389
3,LR,ArgP,0.9986036911121903,0.9883495145631067
4,LR,ArgP,1.0,0.9416342412451362
0,LR,BaeR+CpxR,0.9992743105950653,0.8868471953578336
1,LR,BaeR+CpxR,0.9997278664731495,0.9990328820116054
2,LR,BaeR+CpxR,0.9996976294146106,0.9980657640232109
3,LR,BaeR+CpxR,0.999516207063377,0.6595744680851063
4,LR,BaeR+CpxR,0.9997582205029013,0.748062015503876
0,LR,CpxR,0.9996161630260312,0.7601841517857142
1,LR,CpxR,0.9995027566473584,0.7896205357142857
2,LR,CpxR,0.9992061553492917,0.6819196428571428
3,LR,CpxR,0.9989444483215857,0.9330357142857143
4,LR,CpxR,0.9999912806919643,0.8635728263908304
0,LR,CdaR,1.0,0.9343629343629344
1,LR,CdaR,0.9998792853693867,1.0
2,LR,CdaR,1.0,1.0
3,LR,CdaR,1.0,1.0
4,LR,CdaR,1.0,1.0
0,LR,Cra,0.9998062953995157,0.9352030947775629
1,LR,Cra,0.9998547215496368,1.0
2,LR,Cra,0.9999462192104981,0.9993540051679587
3,LR,Cra,0.9994621921049801,0.9541343669250646
4,LR,Cra,0.9998063891577929,0.999031007751938
0,LR,Crp-related-2,0.982079831932773,0.5077342047930283
1,LR,Crp-related-2,0.9722549019607843,0.47570806100217855
2,LR,Crp-related-2,0.9964215686274509,0.5498910675381263
3,LR,Crp-related-2,0.9788515406162464,0.30806100217864923
4,LR,Crp-related-2,0.9734545206971676,0.4825980392156863
0,LR,EvgA,1.0,0.952842377260982
1,LR,EvgA,1.0,0.7855297157622738
2,LR,EvgA,1.0,1.0
3,LR,EvgA,1.0,1.0
4,LR,EvgA,1.0,0.6647286821705426
0,LR,CysB-1,1.0,0.9975728155339806
1,LR,CysB-1,0.999810943661211,0.9859223300970873
2,LR,CysB-1,0.9997427542445549,1.0
3,LR,CysB-1,0.9997427542445549,1.0
