Location,Type,Energy
343 - 343,tight,-35.0135513 kcal/mol
363 - 363,loose,-19.4335451 kcal/mol
463 - 463,tight,-35.0874335 kcal/mol
483 - 483,loose,-20.3011533 kcal/mol
513 - 513,tight,-35.7694021 kcal/mol
553 - 553,tight,-36.0037906 kcal/mol
793 - 793,tight,-35.3381597 kcal/mol
813 - 813,loose,-19.1816643 kcal/mol
1113 - 1113,loose,-20.3435868 kcal/mol
1463 - 1463,loose,-20.280776 kcal/mol
1573 - 1583,tight,-40.034896950000004 kcal/mol
1603 - 1613,tight,-34.164847949999995 kcal/mol
1943 - 1943,tight,-36.662045 kcal/mol
1963 - 1963,tight,-36.8532837 kcal/mol
1993 - 1993,tight,-34.2377295 kcal/mol
2053 - 2053,tight,-37.4588485 kcal/mol
2153 - 2163,tight,-35.4715656 kcal/mol
2273 - 2283,tight,-34.3906424 kcal/mol
2313 - 2353,tight,-35.721106400000004 kcal/mol
2383 - 2383,tight,-37.6519756 kcal/mol
2403 - 2483,loose,-14.526274368888892 kcal/mol
2503 - 2503,loose,-18.4886803 kcal/mol
2663 - 2663,tight,-36.4475336 kcal/mol
2921 - 2921,tight,-35.7082051 kcal/mol
3311 - 3341,tight,-35.7999905 kcal/mol
3421 - 3471,tight,-38.236144216666666 kcal/mol
3491 - 3531,tight,-39.406091960000005 kcal/mol
3734 - 3734,loose,-20.6034699 kcal/mol
3884 - 3894,tight,-35.7790676 kcal/mol
4074 - 4074,tight,-34.7286042 kcal/mol
4164 - 4164,tight,-34.0771559 kcal/mol
4184 - 4194,tight,-35.93728835 kcal/mol
4214 - 4214,tight,-34.9937129 kcal/mol
4544 - 4544,tight,-34.3048538 kcal/mol
4574 - 4574,tight,-36.968028 kcal/mol
4594 - 4594,tight,-34.6209243 kcal/mol
4754 - 4754,tight,-35.229534 kcal/mol
4804 - 4804,tight,-35.33506 kcal/mol
4834 - 4834,tight,-35.2832542 kcal/mol
5713 - 5713,tight,-34.2947158 kcal/mol
5743 - 5783,tight,-37.60548096 kcal/mol
5803 - 5803,tight,-34.5348691 kcal/mol
5983 - 5983,loose,-20.5899611 kcal/mol
6183 - 6183,loose,-20.7631174 kcal/mol
6233 - 6233,loose,-20.4702149 kcal/mol
6253 - 6253,tight,-37.171602 kcal/mol
6333 - 6333,tight,-35.2480687 kcal/mol
6353 - 6353,tight,-35.8509692 kcal/mol
6549 - 6549,loose,-16.5647833 kcal/mol
6579 - 6639,loose,-15.209031442857142 kcal/mol
6659 - 6669,loose,-19.11392475 kcal/mol
6889 - 6889,loose,-18.6034452 kcal/mol
6979 - 6989,tight,-40.0863743 kcal/mol
7009 - 7039,tight,-40.0993227 kcal/mol
7169 - 7169,tight,-34.205864 kcal/mol
7209 - 7209,tight,-34.813785 kcal/mol
7249 - 7249,loose,-20.6469466 kcal/mol
7339 - 7339,loose,-20.1777117 kcal/mol
7439 - 7439,loose,-21.046987 kcal/mol
7549 - 7549,loose,-20.7545692 kcal/mol
7659 - 7659,loose,-19.0769059 kcal/mol
7769 - 7769,loose,-18.8584449 kcal/mol
7799 - 7799,tight,-35.2647348 kcal/mol
7829 - 7829,tight,-35.0594674 kcal/mol
8307 - 8307,loose,-15.7364737 kcal/mol
8327 - 8327,loose,-16.3432363 kcal/mol
8437 - 8437,loose,-20.0770505 kcal/mol
8547 - 8547,loose,-20.8886574 kcal/mol
9396 - 9426,tight,-36.589066675 kcal/mol
9446 - 9466,tight,-35.652014199999996 kcal/mol
9496 - 9516,tight,-34.9133383 kcal/mol
9998 - 9998,loose,-20.5971145 kcal/mol
10258 - 10268,tight,-34.5365045 kcal/mol
10288 - 10328,tight,-39.365866260000004 kcal/mol
10368 - 10368,tight,-34.7408603 kcal/mol
10713 - 10753,tight,-35.3462199 kcal/mol
10783 - 10783,tight,-35.1312533 kcal/mol
10863 - 10873,loose,-19.93983455 kcal/mol
10893 - 10893,loose,-19.730895 kcal/mol
10913 - 10933,loose,-19.977148633333332 kcal/mol
11093 - 11093,tight,-36.6502772 kcal/mol
11113 - 11183,tight,-38.9367929875 kcal/mol
11392 - 11392,loose,-20.925866 kcal/mol
11522 - 11532,loose,-20.77269055 kcal/mol
11552 - 11602,loose,-17.935680783333336 kcal/mol
11632 - 11632,tight,-34.026967 kcal/mol
12723 - 12733,loose,-19.903622849999998 kcal/mol
