,GENE_ID,GENE_NAME,GENE_POSLEFT,GENE_POSRIGHT,GENE_STRAND
0,ECK120000001,alr,4265782,4266861,forward
1,ECK120000002,modB,795862,796551,forward
2,ECK120000003,cysZ,2531463,2532224,forward
3,ECK120000004,dfp,3812731,3813951,forward
4,ECK120000005,dcuB,4347404,4348744,reverse
5,ECK120000006,hisM,2424517,2425233,reverse
6,ECK120000007,zraS,4201926,4203323,forward
7,ECK120000008,rhsE,1527890,1529938,forward
8,ECK120000009,yaaA,5683,6459,reverse
9,ECK120000010,cydC,927474,929195,reverse
10,ECK120000011,mepM,1940313,1941635,reverse
11,ECK120000012,acrD,2587595,2590708,forward
12,ECK120000013,rodZ,2641831,2642844,reverse
13,ECK120000014,garL,3272787,3273557,reverse
14,ECK120000015,ispB,3333710,3334681,forward
15,ECK120000016,csrD,3401392,3403332,reverse
16,ECK120000017,cpxR,4104972,4105670,reverse
17,ECK120000018,yjiA,4587909,4588865,reverse
18,ECK120000019,aceA,4217109,4218413,forward
19,ECK120000020,aceB,4215478,4217079,forward
20,ECK120000021,aceE,123017,125680,forward
21,ECK120000022,aceF,125695,127587,forward
22,ECK120000023,aceK,4218596,4220332,forward
23,ECK120000024,ackA,2413470,2414672,forward
24,ECK120000025,pflA,950340,951080,reverse
25,ECK120000026,ada,2309341,2310405,reverse
26,ECK120000027,add,1702233,1703234,forward
27,ECK120000028,adhE,1295446,1298121,reverse
28,ECK120000029,adk,497175,497819,forward
29,ECK120000030,agp,1065585,1066826,forward
30,ECK120000031,alaS,2819381,2822011,reverse
31,ECK120000032,aldA,1488232,1489671,forward
32,ECK120000033,puuC,1362743,1364230,forward
33,ECK120000034,alkB,2308691,2309341,reverse
34,ECK120000035,amn,2055061,2056515,forward
35,ECK120000036,ampC,4377811,4378944,reverse
36,ECK120000037,ampD,118733,119284,forward
37,ECK120000038,ampE,119281,120135,forward
38,ECK120000039,cysQ,4436755,4437495,forward
39,ECK120000040,osmE,1821918,1822256,reverse
40,ECK120000041,ansA,1850860,1851876,forward
41,ECK120000042,ansB,3099682,3100728,reverse
42,ECK120000043,apaG,51229,51606,reverse
43,ECK120000044,apaH,50380,51222,reverse
44,ECK120000045,appA,1040617,1041915,forward
45,ECK120000046,appY,583681,584430,forward
46,ECK120000047,apt,491412,491963,forward
47,ECK120000048,araA,66835,68337,reverse
48,ECK120000049,araB,68348,70048,reverse
49,ECK120000050,araC,70387,71265,forward
50,ECK120000051,araD,65855,66550,reverse
51,ECK120000052,araE,2980764,2982182,reverse
52,ECK120000053,araF,1985139,1986128,reverse
53,ECK120000054,araG,1983555,1985069,reverse
54,ECK120000055,araH,1982554,1983540,reverse
55,ECK120000056,araJ,411297,412481,reverse
56,ECK120000057,arcA,4639590,4640306,reverse
57,ECK120000058,arcB,3350689,3353025,reverse
58,ECK120000059,argA,2949242,2950573,forward
59,ECK120000060,argB,4156013,4156789,forward
60,ECK120000061,argC,4155001,4156005,forward
61,ECK120000062,argD,3488960,3490180,reverse
62,ECK120000063,argF,289301,290305,reverse
63,ECK120000064,argG,3318637,3319980,forward
64,ECK120000065,argI,4477307,4478311,reverse
65,ECK120000066,argR,3384703,3385173,forward
66,ECK120000067,argS,1960062,1961795,forward
67,ECK120000068,argT,2427009,2427791,reverse
68,ECK120000069,aroA,958812,960095,forward
69,ECK120000070,aroB,3517398,3518486,reverse
70,ECK120000071,aroC,2446388,2447473,reverse
