,PROMOTER_ID,PROMOTER_NAME,POS_1,SIGMA_FACTOR,PROMOTER_STRAND,BOX_10_LEFT,BOX_10_RIGHT,BOX_35_LEFT,BOX_35_RIGHT
0,ECK120009842,galRp,2976569.0,Sigma70,forward,2976557.0,2976562.0,2976534.0,2976539.0
1,ECK120009843,lpxLp,1116709.0,,reverse,,,,
2,ECK120009844,yceAp,1116772.0,,forward,,,,
3,ECK120009845,mraZp,89596.0,Sigma70,forward,89588.0,89593.0,89563.0,89568.0
4,ECK120009846,sohBp1,1329284.0,"Sigma70, Sigma38",forward,1329276.0,1329281.0,1329254.0,1329259.0
5,ECK120009846,sohBp1,1329284.0,"Sigma70, Sigma38",forward,1329262.0,1329272.0,1329245.0,1329250.0
6,ECK120009847,sohBp2,1329301.0,Sigma70,forward,1329290.0,1329295.0,1329263.0,1329268.0
7,ECK120009848,mplp1,4455728.0,"Sigma38, Sigma70",forward,4455706.0,4455716.0,4455690.0,4455695.0
8,ECK120009848,mplp1,4455728.0,"Sigma38, Sigma70",forward,4455711.0,4455716.0,4455685.0,4455690.0
9,ECK120009849,mplp2,4455760.0,Sigma70,forward,4455749.0,4455754.0,4455726.0,4455731.0
10,ECK120009850,menAp,4120406.0,Sigma70,reverse,4120415.0,4120420.0,4120439.0,4120444.0
11,ECK120009851,astCp1,1832013.0,Sigma70,reverse,1832022.0,1832027.0,1832047.0,1832052.0
12,ECK120009852,astCp2,1832044.0,Sigma54,reverse,1832054.0,1832058.0,1832065.0,1832070.0
13,ECK120009853,astCp3,1832039.0,Sigma38,reverse,1832046.0,1832056.0,1832070.0,1832075.0
14,ECK120009854,pyrHp,191812.0,Sigma70,forward,191800.0,191805.0,191774.0,191779.0
15,ECK120009855,nrdHp,2800656.0,Sigma70,forward,2800644.0,2800649.0,2800621.0,2800626.0
16,ECK120009856,srkAp,4042391.0,Sigma70,forward,4042378.0,4042383.0,4042353.0,4042358.0
17,ECK120009857,dsbAp,4043377.0,Sigma70,forward,4043364.0,4043369.0,4043342.0,4043347.0
18,ECK120009858,dmsAp2,940878.0,,forward,,,,
19,ECK120009859,moaAp1,816827.0,,forward,,,,
20,ECK120009860,moaAp2,816914.0,,forward,,,,
21,ECK120009861,ptsGp1,1157766.0,,forward,,,,
22,ECK120009862,ptsGp2,1157626.0,Sigma70,forward,,,,
23,ECK120009863,grcAp1,2716523.0,Sigma70,reverse,,,,
24,ECK120009864,rrsAp1,4035239.0,"Sigma32, Sigma70",forward,4035232.0,4035237.0,4035212.0,4035217.0
25,ECK120009864,rrsAp1,4035239.0,"Sigma32, Sigma70",forward,4035225.0,4035230.0,4035203.0,4035208.0
26,ECK120009865,rrsCp1,3941516.0,"Sigma32, Sigma70",forward,3941509.0,3941514.0,3941489.0,3941494.0
27,ECK120009865,rrsCp1,3941516.0,"Sigma32, Sigma70",forward,3941502.0,3941507.0,3941480.0,3941485.0
28,ECK120009866,rrsCp2,3941633.0,Sigma70,forward,3941621.0,3941626.0,3941599.0,3941604.0
29,ECK120009867,rrsEp,4207863.0,"Sigma32, Sigma70",forward,4207846.0,4207851.0,4207827.0,4207832.0
30,ECK120009867,rrsEp,4207863.0,"Sigma32, Sigma70",forward,4207849.0,4207854.0,4207827.0,4207832.0
