,ATTENUATOR_ID,GENE_ID,ATTENUATOR_TYPE,ATTENUATOR_STRAND,A_TERMINATOR_TYPE,A_TERMINATOR_POSLEFT,A_TERMINATOR_POSRIGHT,A_TERMINATOR_ATTENUATOR_ID
0,ECK125143526,ECK120000987,Transcriptional,forward,terminator,276,311,ECK125143526
1,ECK125143526,ECK120000987,Transcriptional,forward,anti-terminator,244,288,ECK125143526
2,ECK125143526,ECK120000987,Transcriptional,forward,anti-anti-terminator,200,255,ECK125143526
3,ECK125143530,ECK120002701,Transcriptional,forward,terminator,5042,5078,ECK125143530
4,ECK125143530,ECK120002701,Transcriptional,forward,anti-terminator,4979,5051,ECK125143530
5,ECK125143530,ECK120002701,Transcriptional,forward,anti-anti-terminator,4999,5018,ECK125143530
6,ECK125143534,ECK120000234,Translational,forward,terminator,14134,14155,ECK125143534
7,ECK125143536,ECK120000910,Transcriptional,reverse,terminator,21166,21192,ECK125143536
8,ECK125143536,ECK120000910,Transcriptional,reverse,anti-terminator,21185,21226,ECK125143536
9,ECK125143536,ECK120000910,Transcriptional,reverse,anti-anti-terminator,21210,21255,ECK125143536
10,ECK125143540,ECK120002707,Transcriptional,forward,terminator,20937,20982,ECK125143540
11,ECK125143540,ECK120002707,Transcriptional,forward,anti-terminator,20912,20955,ECK125143540
12,ECK125143540,ECK120002707,Transcriptional,forward,anti-anti-terminator,20912,20935,ECK125143540
13,ECK125143544,ECK120001517,Translational,forward,terminator,44134,44174,ECK125143544
14,ECK125143546,ECK120002332,Translational,forward,terminator,58430,58467,ECK125143546
15,ECK125143548,ECK120001071,Translational,reverse,terminator,63291,63309,ECK125143548
16,ECK125143550,ECK120000738,Translational,reverse,terminator,65797,65825,ECK125143550
17,ECK125143552,ECK120000051,Transcriptional,reverse,terminator,66677,66716,ECK125143552
18,ECK125143552,ECK120000051,Transcriptional,reverse,anti-terminator,66705,66718,ECK125143552
19,ECK125143552,ECK120000051,Transcriptional,reverse,anti-anti-terminator,66710,66759,ECK125143552
20,ECK125143556,ECK120000049,Translational,reverse,terminator,70049,70086,ECK125143556
