,TRANSCRIPTION_UNIT_ID,GENE_ID
0,ECK120008913,ECK120003528
1,ECK120008913,ECK120003529
2,ECK120008913,ECK120003530
3,ECK120008913,ECK120003531
4,ECK120008913,ECK120003532
5,ECK120008914,ECK120003532
6,ECK120008914,ECK120003531
7,ECK120008914,ECK120003530
8,ECK120008914,ECK120003528
9,ECK120008914,ECK120003529
10,ECK120008915,ECK120003528
11,ECK120008915,ECK120003529
12,ECK120008915,ECK120003530
13,ECK120008915,ECK120003531
14,ECK120008915,ECK120003532
15,ECK120008916,ECK120003968
16,ECK120008916,ECK120003969
17,ECK120008916,ECK120002450
18,ECK120008916,ECK120002248
19,ECK120008917,ECK125230238
20,ECK120008917,ECK120004317
21,ECK120008918,ECK120001270
22,ECK120008918,ECK120001763
23,ECK120008919,ECK120001270
24,ECK120008920,ECK120002435
25,ECK120008921,ECK120000227
26,ECK120008921,ECK120000226
27,ECK120008921,ECK120000228
28,ECK120008922,ECK120001545
29,ECK120008922,ECK120001546
30,ECK120008922,ECK120001609
31,ECK120008922,ECK120001544
32,ECK120008922,ECK120001543
33,ECK120008923,ECK120000778
34,ECK120008924,ECK120000778
35,ECK120008925,ECK120001718
36,ECK120008926,ECK120002714
37,ECK120008927,ECK120002519
38,ECK120008927,ECK120002451
39,ECK120008927,ECK120002485
40,ECK120008927,ECK120002512
41,ECK120008927,ECK120002526
42,ECK120008928,ECK120002527
43,ECK120008928,ECK120002474
44,ECK120008928,ECK120002513
45,ECK120008928,ECK120002520
46,ECK120008929,ECK120002514
47,ECK120008929,ECK120002521
48,ECK120008929,ECK120002475
49,ECK120008929,ECK120002528
50,ECK120008930,ECK120002528
51,ECK120008930,ECK120002475
52,ECK120008930,ECK120002521
53,ECK120008930,ECK120002514
54,ECK120008931,ECK120002516
55,ECK120008931,ECK120002523
56,ECK120008931,ECK120002530
57,ECK120008931,ECK120002476
58,ECK120008932,ECK120002531
59,ECK120008932,ECK120002477
60,ECK120008932,ECK120002524
61,ECK120008932,ECK120002517
62,ECK120008933,ECK120002517
63,ECK120008933,ECK120002531
64,ECK120008933,ECK120002477
65,ECK120008933,ECK120002524
66,ECK120008934,ECK120002532
67,ECK120008934,ECK120002487
68,ECK120008934,ECK120002453
69,ECK120008934,ECK120002518
70,ECK120008934,ECK120002525
71,ECK120008935,ECK120002518
72,ECK120008935,ECK120002487
73,ECK120008935,ECK120002532
74,ECK120008935,ECK120002525
75,ECK120008935,ECK120002453
76,ECK120008936,ECK120002545
77,ECK120008936,ECK120002515
78,ECK120008936,ECK120002533
79,ECK120008936,ECK120002452
80,ECK120008936,ECK120002486
81,ECK120008936,ECK120002529
82,ECK120008936,ECK120002522
83,ECK120008937,ECK120002529
84,ECK120008937,ECK120002452
85,ECK120008937,ECK120002486
86,ECK120008937,ECK120002522
87,ECK120008937,ECK120002515
88,ECK120008937,ECK120002533
89,ECK120008937,ECK120002545
90,ECK120008938,ECK120000819
91,ECK120008938,ECK120000236
92,ECK120008939,ECK120000819
93,ECK120008939,ECK120000236
94,ECK120008940,ECK120000819
95,ECK120008940,ECK120000236
96,ECK120008941,ECK120000819
97,ECK120008941,ECK120000236
98,ECK120008942,ECK120000365
99,ECK120008943,ECK120001564
100,ECK120008944,ECK120002001
101,ECK120008944,ECK120001225
102,ECK120008945,ECK120000352
103,ECK120008945,ECK120029856
104,ECK120008946,ECK120029856
105,ECK120008946,ECK120000352
106,ECK120008946,ECK120000312
107,ECK120008947,ECK120000352
108,ECK120008948,ECK120003657
109,ECK120008949,ECK120000341
110,ECK120008949,ECK120000333
111,ECK120008950,ECK120000316
112,ECK120008950,ECK120000317
113,ECK120008950,ECK120001902
114,ECK120008950,ECK120001901
115,ECK120008950,ECK120001900
116,ECK120008950,ECK120001202
117,ECK120008950,ECK120000318
118,ECK120008951,ECK120002437
119,ECK120008952,ECK120003422
