,SITE_ID,SITE_POSLEFT,SITE_POSRIGHT,CONFORMATION_ID
0,ECK120011181,612650,612668,ECK125269238
1,ECK120011181,612650,612668,ECK125269238
2,ECK120011184,4516744,4516762,ECK125269238
3,ECK120011188,1619005,1619019,ECK125269242
4,ECK120011192,1619022,1619041,ECK125269239
5,ECK120011192,1619022,1619041,ECK125269273
6,ECK120011192,1619022,1619041,ECK125269270
7,ECK120011197,3305958,3305975,ECK125269281
8,ECK120011200,1386588,1386605,ECK125269398
9,ECK120011204,2344582,2344601,ECK125269295
10,ECK120011206,2344555,2344574,ECK125269295
11,ECK120011208,2344527,2344546,ECK125269295
12,ECK120011212,180765,180783,ECK125269248
13,ECK120011214,4042335,4042349,ECK125269248
14,ECK120011216,180615,180629,ECK125269248
15,ECK120011218,3492375,3492389,ECK125269248
16,ECK120011226,940850,940862,ECK125269246
17,ECK120011231,816781,816794,ECK125269260
18,ECK120011238,1157715,1157736,ECK125269234
19,ECK120011242,1157749,1157771,ECK125269264
20,ECK120011244,1157580,1157602,ECK125269264
21,ECK120011246,2716610,2716623,ECK125269260
22,ECK120011248,2716557,2716570,ECK125269260
23,ECK120011248,2716557,2716570,ECK125269260
24,ECK120011253,3493838,3493852,ECK125269242
25,ECK120011255,963666,963678,ECK125269246
26,ECK120011257,963586,963598,ECK125269246
27,ECK120011259,963536,963548,ECK125269246
28,ECK120011261,963439,963451,ECK125269246
29,ECK120011263,963423,963435,ECK125269246
30,ECK120011267,2062046,2062060,ECK125269298
31,ECK120011272,2062122,2062138,ECK125269235
32,ECK120011274,1842325,1842339,ECK125269298
33,ECK120011276,1842276,1842290,ECK125269298
34,ECK120011278,1842220,1842234,ECK125269298
35,ECK120011280,1842345,1842359,ECK125269298
36,ECK120011282,3927031,3927045,ECK125269298
37,ECK120011284,3927088,3927102,ECK125269298
38,ECK120011286,3927009,3927023,ECK125269298
39,ECK120011288,4166289,4166303,ECK125269242
40,ECK120011290,4166258,4166272,ECK125269242
41,ECK120011292,4166217,4166231,ECK125269242
42,ECK120011296,4166277,4166291,ECK125269263
43,ECK120011300,711573,711592,ECK125269270
44,ECK120011304,710883,710899,ECK125269276
45,ECK120011308,3059694,3059712,ECK125269258
46,ECK120011310,4097608,4097629,ECK125269234
47,ECK120011316,2868052,2868073,ECK125269234
48,ECK120011318,2868170,2868191,ECK125269234
49,ECK120011322,1103859,1103873,ECK125269248
50,ECK120011326,103511,103524,ECK125269287
51,ECK120011334,2001849,2001865,ECK125269253
52,ECK120011336,2019539,2019555,ECK125269253
53,ECK120011343,3683569,3683590,ECK125269234
54,ECK120011350,4382508,4382524,ECK125269342
55,ECK120011352,3683596,3683612,ECK125269342
56,ECK120011356,1016509,1016526,ECK125269367
57,ECK120011358,2441653,2441670,ECK125269367
58,ECK120011366,656110,656123,ECK125269260
59,ECK120011368,656140,656153,ECK125269260
60,ECK120011370,656192,656205,ECK125269260
61,ECK120011372,656416,656430,ECK125269269
62,ECK120011374,1671288,1671306,ECK125269258
63,ECK120011376,1339249,1339268,ECK125269270
64,ECK120011381,1556546,1556563,ECK125269314
65,ECK120011386,1556537,1556551,ECK125269256
66,ECK120011386,1556537,1556551,ECK125269256
67,ECK120011392,2601033,2601050,ECK125269351
68,ECK120011396,2601034,2601047,ECK125269257
69,ECK120011398,1367989,1368001,ECK125269246
70,ECK120011402,1367931,1367947,ECK125269308
71,ECK120011402,1367931,1367947,ECK125269308
72,ECK120011408,4466250,4466266,ECK125269444
73,ECK120011410,4466283,4466299,ECK125269444
74,ECK120011423,1011614,1011633,ECK125269273
75,ECK120011427,485761,485780,ECK125269270
76,ECK120011427,485761,485780,ECK125269273
77,ECK120011432,2791121,2791135,ECK125269298
78,ECK120011435,3128180,3128194,ECK125269269
79,ECK120011440,3128245,3128259,ECK125269302
80,ECK120011440,3128245,3128259,ECK125269302
81,ECK120011443,3410172,3410193,ECK125269234
82,ECK120011446,4240264,4240285,ECK125269234
83,ECK120011448,4240260,4240278,ECK125269258
84,ECK120011450,4240238,4240256,ECK125269258
85,ECK120011452,141284,141305,ECK125269234
86,ECK120011452,141284,141305,ECK125269234
87,ECK120011455,141330,141342,ECK125269246
88,ECK120011455,141330,141342,ECK125269246
89,ECK120011475,222724,222739,ECK125269279
90,ECK120011477,222732,222747,ECK125269279
91,ECK120011480,3058618,3058639,ECK125269234
92,ECK120011485,368454,368468,ECK125269418
93,ECK120011487,368413,368434,ECK125269234
94,ECK120011494,4467321,4467337,ECK125269265
95,ECK120011494,4467321,4467337,ECK125269265
96,ECK120011494,4467321,4467337,ECK125269265
97,ECK120011498,1908817,1908833,ECK125269265
98,ECK120011500,1190508,1190524,ECK125269265
99,ECK120011500,1190508,1190524,ECK125269265
100,ECK120011512,3146413,3146427,ECK125269269
101,ECK120011514,3146406,3146421,ECK125269251
102,ECK120011516,3146431,3146446,ECK125269251
103,ECK120011519,3911546,3911558,ECK125269246
104,ECK120011521,841638,841656,ECK125269238
105,ECK120011523,841637,841655,ECK125269238
106,ECK120011525,841645,841663,ECK125269238
107,ECK120011527,841628,841646,ECK125269238
108,ECK120011529,3152045,3152063,ECK125269238
109,ECK120011531,3410156,3410170,ECK125269242
110,ECK120011533,3410264,3410278,ECK125269242
111,ECK120011535,3151427,3151445,ECK125269238
112,ECK120011537,3410126,3410138,ECK125269246
113,ECK120011539,1161624,1161642,ECK125269238
114,ECK120011541,2339492,2339506,ECK125269242
115,ECK120011543,3880205,3880219,ECK125269242
116,ECK120011545,3880252,3880266,ECK125269242
117,ECK120011547,2071332,2071348,ECK125269276
118,ECK120011549,2405466,2405480,ECK125269242
119,ECK120011551,2405526,2405540,ECK125269242
120,ECK120011553,2405563,2405577,ECK125269242
121,ECK120011555,2405230,2405242,ECK125269246
122,ECK120011557,2405222,2405234,ECK125269246
123,ECK120011559,2552254,2552266,ECK125269246
124,ECK120011561,2553206,2553218,ECK125269246
125,ECK120011565,1453875,1453913,ECK125269236
126,ECK120011567,1453796,1453817,ECK125269234
127,ECK120011567,1453796,1453817,ECK125269234
128,ECK120011570,1453744,1453756,ECK125269246
129,ECK120011570,1453744,1453756,ECK125269246
130,ECK120011573,1453657,1453697,ECK125269236
131,ECK120011581,454377,454396,ECK125269275
132,ECK120011583,2718610,2718626,ECK125269276
133,ECK120011585,3653964,3653983,ECK125269273
134,ECK120011596,3039774,3039794,ECK125269270
135,ECK120011598,3039763,3039782,ECK125269270
136,ECK120011600,771162,771175,ECK125269260
137,ECK120011600,771162,771175,ECK125269260
138,ECK120011600,771162,771175,ECK125269260
