# Table: TU_TERMINATOR_LINK
# Columns:
# 1) TRANSCRIPTION_UNIT_ID
# 2) TERMINATOR_ID
ECK120008917	ECK120010790
ECK120008928	ECK120051382
ECK120008928	ECK120051383
ECK120008929	ECK120051384
ECK120008930	ECK120051384
ECK120008945	ECK120010866
ECK120008945	ECK120011170
ECK120008946	ECK120010866
ECK120008946	ECK120011170
ECK120008947	ECK120010866
ECK120008947	ECK120011170
ECK120008954	ECK120010801
ECK120008966	ECK120015446
ECK120008969	ECK120010812
ECK120008973	ECK120015957
ECK120008974	ECK120015957
ECK120008975	ECK120015957
ECK120008977	ECK120010813
ECK120008978	ECK120010782
ECK120008992	ECK120051382
ECK120008992	ECK120051383
ECK120009013	ECK120010783
ECK120009014	ECK120010784
ECK120009018	ECK120051408
ECK120009023	ECK120015452
ECK120009028	ECK120010785
ECK120009032	ECK120011168
ECK120009033	ECK120011168
ECK120009034	ECK120011168
ECK120009037	ECK120010856
ECK120009043	ECK120010788
ECK120009043	ECK120010789
ECK120009044	ECK120010788
ECK120009044	ECK120010789
ECK120009045	ECK120010788
ECK120009045	ECK120010789
ECK120009047	ECK120010796
ECK120009048	ECK120010797
ECK120009050	ECK120010797
ECK120009051	ECK120010807
ECK120009051	ECK120010808
ECK120009052	ECK120010799
ECK120009054	ECK120010800
ECK120009058	ECK120010802
ECK120009082	ECK120010809
ECK120009082	ECK120010810
ECK120009083	ECK120010804
ECK120009096	ECK120010872
ECK120009100	ECK120010805
ECK120009105	ECK120010806
ECK120009106	ECK120010806
ECK120009116	ECK120010873
ECK120009117	ECK120035136
ECK120009122	ECK125257009
ECK120009123	ECK125256998
ECK120009127	ECK120048900
ECK120009131	ECK120015453
ECK120009136	ECK125256998
ECK120009137	ECK125256998
ECK120009148	ECK120010814
ECK120009149	ECK120010863
ECK120009150	ECK120010863
ECK120009152	ECK120010875
ECK120009157	ECK120010822
ECK120009157	ECK120020524
ECK120009159	ECK120010779
ECK120009160	ECK120010873
ECK120009161	ECK120021270
ECK120009163	ECK120010873
ECK120009164	ECK120015457
ECK120009164	ECK120015526
ECK120009168	ECK125257009
ECK120009169	ECK120015442
ECK120009170	ECK120048901
ECK120009171	ECK120048901
ECK120009172	ECK120048901
ECK120009178	ECK120015446
ECK120009179	ECK120010869
ECK120009182	ECK125256995
ECK120009201	ECK120010779
ECK120009202	ECK120029599
ECK120009203	ECK120029341
ECK120009205	ECK120029528
ECK120009210	ECK120010875
ECK120009211	ECK120010875
ECK120009214	ECK120029529
ECK120009216	ECK120010861
ECK120009218	ECK125165957
ECK120009223	ECK120015169
ECK120009225	ECK120051400
ECK120009226	ECK120010824
ECK120009229	ECK120010788
ECK120009229	ECK120010789
ECK120009231	ECK120010791
ECK120009242	ECK120010781
ECK120009255	ECK120010786
ECK120009260	ECK125122038
ECK120009261	ECK120010787
ECK120009264	ECK125256995
ECK120009268	ECK120048899
ECK120009270	ECK120010828
ECK120009272	ECK120048902
ECK120009276	ECK120010841
ECK120009277	ECK120010841
ECK120009278	ECK120034958
ECK120009280	ECK120029531
ECK120009284	ECK120015455
ECK120009296	ECK125146694
ECK120009298	ECK125257002
ECK120009301	ECK125257016
ECK120009302	ECK125257016
ECK120009311	ECK125257019
ECK120009313	ECK120010866
ECK120009313	ECK120011170
ECK120009329	ECK120010847
ECK120009329	ECK120010848
ECK120009330	ECK120010831
ECK120009331	ECK125158032
ECK120009334	ECK120010788
ECK120009337	ECK120010835
ECK120009343	ECK125257000
ECK120009344	ECK120015451
ECK120009345	ECK120010849
ECK120009350	ECK120010856
ECK120009351	ECK120010858
ECK120009358	ECK120010792
ECK120009361	ECK120030219
ECK120009364	ECK120015449
ECK120009365	ECK120017009
ECK120009378	ECK120048897
ECK120009383	ECK120010780
ECK120009384	ECK120051403
ECK120009384	ECK120051404
ECK120009384	ECK120051405
ECK120009384	ECK120051406
ECK120009394	ECK120010832
ECK120009396	ECK120029530
ECK120009405	ECK120010860
ECK120009410	ECK120029975
ECK120009413	ECK120033127
ECK120009417	ECK120010803
ECK120009418	ECK120010800
ECK120009421	ECK120020522
ECK120009424	ECK120026395
ECK120009425	ECK120010827
ECK120009430	ECK120015461
ECK120009433	ECK120010863
ECK120009441	ECK120010850
ECK120009443	ECK120010876
ECK120009446	ECK120010784
ECK120009451	ECK120026315
ECK120009455	ECK120010813
ECK120009463	ECK120010837
ECK120009466	ECK120010851
ECK120009468	ECK120033262
ECK120009469	ECK120010864
ECK120009470	ECK120020528
ECK120009476	ECK120010852
ECK120009477	ECK120010842
ECK120009479	ECK120030671
ECK120009483	ECK125230272
ECK120009485	ECK120010783
ECK120009498	ECK120010844
ECK120009500	ECK125109037
ECK120009502	ECK120020527
ECK120009521	ECK125160653
ECK120009522	ECK125109869
ECK120009523	ECK120010869
ECK120009524	ECK120015170
ECK120009527	ECK120010872
ECK120009533	ECK125095454
ECK120009535	ECK120010874
ECK120009535	ECK125165931
ECK120009537	ECK120010871
ECK120009540	ECK120010865
ECK120009541	ECK120015457
ECK120009541	ECK120015526
ECK120009542	ECK120030799
ECK120009544	ECK125108943
ECK120009547	ECK120027917
ECK120009549	ECK120034950
ECK120009564	ECK120010857
ECK120009565	ECK120010857
ECK120009566	ECK120010857
ECK120009567	ECK120010857
ECK120009568	ECK120010857
ECK120009569	ECK120010857
ECK120009570	ECK120010857
ECK120009571	ECK120010857
ECK120009573	ECK125257003
ECK120009578	ECK125109037
ECK120009583	ECK120015957
ECK120009584	ECK120010855
ECK120009585	ECK120034949
ECK120009586	ECK120010854
ECK120009587	ECK120010853
ECK120009588	ECK120010853
ECK120009599	ECK120010851
ECK120009600	ECK120010833
ECK120009601	ECK125257002
ECK120009604	ECK120010850
ECK120009605	ECK120033262
ECK120009608	ECK120051407
ECK120009609	ECK120010849
ECK120009611	ECK120010841
ECK120009612	ECK120010841
ECK120009615	ECK120030801
ECK120009616	ECK120010846
ECK120009617	ECK120010846
ECK120009618	ECK120010846
ECK120009619	ECK120010865
ECK120009620	ECK120010865
ECK120009621	ECK120010865
ECK120009622	ECK120010865
ECK120009623	ECK120010865
ECK120009627	ECK120015456
ECK120009628	ECK120010845
ECK120009632	ECK120010844
ECK120009633	ECK120010843
ECK120009634	ECK120010843
ECK120009635	ECK120010840
ECK120009636	ECK120010838
ECK120009636	ECK120010839
ECK120009637	ECK120010838
ECK120009637	ECK120010839
ECK120009640	ECK120010836
ECK120009650	ECK120010856
ECK120009653	ECK120010833
ECK120009654	ECK120010834
ECK120009657	ECK120010845
ECK120009658	ECK120010781
ECK120009659	ECK120010781
ECK120009661	ECK120010797
ECK120009662	ECK120010797
ECK120009663	ECK120010797
ECK120009664	ECK120010797
ECK120009665	ECK120010797
ECK120009666	ECK120034951
ECK120009667	ECK120034951
ECK120009669	ECK120010811
ECK120009670	ECK120010864
ECK120009671	ECK125257008
ECK120009678	ECK125109870
ECK120009678	ECK125109871
ECK120009683	ECK125257020
ECK120009685	ECK125257001
ECK120009686	ECK125257014
ECK120009689	ECK125256994
ECK120009690	ECK125257010
ECK120009691	ECK125257017
ECK120009691	ECK125257021
ECK120009693	ECK125257004
ECK120009703	ECK120015440
ECK120009704	ECK120015440
ECK120009710	ECK120010862
ECK120009711	ECK120010862
ECK120009712	ECK120010862
ECK120009713	ECK120010862
ECK120009714	ECK120010862
ECK120009722	ECK125257022
ECK120009724	ECK120010841
ECK120009726	ECK120010868
ECK120009727	ECK120010803
ECK120009728	ECK120010803
ECK120009732	ECK120010803
ECK120009735	ECK120010867
ECK120009737	ECK120030803
ECK120009738	ECK120030803
ECK120009739	ECK120010873
ECK120009740	ECK120020525
ECK120009740	ECK120020526
ECK120009741	ECK120026481
ECK120009742	ECK120026481
ECK120009743	ECK120026481
ECK120009744	ECK120026481
ECK120009745	ECK120026481
ECK120009746	ECK120026481
ECK120009747	ECK120026481
ECK120009757	ECK120010815
ECK120009759	ECK120010816
ECK120009760	ECK120010816
ECK120009761	ECK120010816
ECK120009762	ECK120010816
ECK120009763	ECK120010817
ECK120009770	ECK120010818
ECK120009773	ECK120010819
ECK120009774	ECK120010820
ECK120009774	ECK120010821
ECK120009775	ECK120010820
ECK120009775	ECK120010821
ECK120009776	ECK120010820
ECK120009776	ECK120010821
ECK120009777	ECK120010820
ECK120009777	ECK120010821
ECK120009785	ECK120010822
ECK120009785	ECK120020524
ECK120009786	ECK120010822
ECK120009786	ECK120020524
ECK120009787	ECK120010822
ECK120009787	ECK120020524
ECK120009788	ECK120010793
ECK120009788	ECK120010794
ECK120009788	ECK120010795
ECK120009795	ECK120010825
ECK120009796	ECK120010825
ECK120009797	ECK120010812
ECK120009798	ECK120010826
ECK120009805	ECK120029528
ECK120009823	ECK120051401
ECK120009823	ECK120051402
ECK120009824	ECK120051401
ECK120009824	ECK120051402
ECK120009828	ECK125229304
ECK120009832	ECK120010829
ECK120009833	ECK120010829
ECK120009835	ECK120010830
ECK120010883	ECK120034436
ECK120010897	ECK125257018
ECK120010898	ECK125257018
ECK120010899	ECK125257018
ECK120010919	ECK120021270
ECK120010962	ECK120015444
ECK120011048	ECK120030673
ECK120011051	ECK120030672
ECK120011052	ECK120023928
ECK120011058	ECK120015454
ECK120011062	ECK125257013
ECK120011063	ECK120017009
ECK120011070	ECK125138143
ECK120011076	ECK120048899
ECK120011080	ECK120033265
ECK120011081	ECK120033265
ECK120011093	ECK120010869
ECK120011127	ECK125160652
ECK120011137	ECK125160652
ECK120015152	ECK120035137
ECK120015175	ECK120035137
ECK120015316	ECK120015443
ECK120015319	ECK120015445
ECK120015320	ECK120015447
ECK120015322	ECK120015448
ECK120015323	ECK120015450
ECK120015333	ECK125109037
ECK120015339	ECK120016882
ECK120015340	ECK120016882
ECK120015349	ECK120015456
ECK120015350	ECK120015458
ECK120015352	ECK120015459
ECK120015355	ECK120015460
ECK120015356	ECK120015462
ECK120015358	ECK120015439
ECK120015359	ECK120015439
ECK120015360	ECK120015439
ECK120015365	ECK125160657
ECK120015373	ECK120010832
ECK120016547	ECK120029600
ECK120016553	ECK120016586
ECK120016554	ECK120016586
ECK120016560	ECK125095455
ECK120016727	ECK125160653
ECK120020426	ECK120020622
ECK120020428	ECK120020525
ECK120020428	ECK120020526
ECK120020430	ECK125140846
ECK120020439	ECK125257007
ECK120020462	ECK120020622
ECK120020463	ECK125109867
ECK120020465	ECK120010836
ECK120020467	ECK125095211
ECK120021183	ECK125141472
ECK120021205	ECK125256996
ECK120021212	ECK120048898
ECK120021226	ECK120034957
ECK120021236	ECK125256997
ECK120021260	ECK120030802
ECK120021264	ECK120021269
ECK120021265	ECK120021269
ECK120026299	ECK120026315
ECK120026300	ECK120026312
ECK120026301	ECK120026312
ECK120026526	ECK120033739
ECK120026639	ECK125203452
ECK120026784	ECK125256999
ECK120026786	ECK125257012
ECK120026789	ECK125199583
ECK120026894	ECK125122041
ECK120026897	ECK125122040
ECK120027005	ECK125108724
ECK120027087	ECK125257005
ECK120027178	ECK120035135
ECK120027196	ECK120035138
ECK120027208	ECK125203450
ECK120027209	ECK125203451
ECK120027246	ECK125203453
ECK120027351	ECK120051385
ECK120027365	ECK120033738
ECK120027475	ECK125160784
ECK120027520	ECK125203449
ECK120027588	ECK125135063
ECK120027678	ECK120035134
ECK120027722	ECK125095210
ECK120027723	ECK125257015
ECK120027784	ECK120029978
ECK120027786	ECK125257011
ECK120027938	ECK125257003
ECK120029296	ECK120030671
ECK120029298	ECK120029341
ECK120029317	ECK125165415
ECK120029426	ECK120021270
ECK120029472	ECK125141560
ECK120030158	ECK120030218
ECK120030159	ECK120030800
ECK120030201	ECK120030220
ECK120030202	ECK120030221
ECK120030629	ECK120030670
ECK120030630	ECK120030670
ECK120030631	ECK120030670
ECK120030634	ECK120030671
ECK120030635	ECK120030671
ECK120030636	ECK120030673
ECK120030676	ECK125257019
ECK120030677	ECK125257019
ECK120033211	ECK125109868
ECK120033554	ECK120030671
ECK120033556	ECK120015454
ECK120033570	ECK120010850
ECK120033579	ECK120030219
ECK120033580	ECK120010833
ECK120033581	ECK120010845
ECK120033582	ECK120010788
ECK120033582	ECK120010789
ECK120033586	ECK120051382
ECK120033586	ECK120051383
ECK120033589	ECK120010844
ECK120033756	ECK125108943
ECK120033760	ECK125257004
ECK120033762	ECK125256994
ECK120034112	ECK120034435
ECK120034113	ECK120034435
ECK120034143	ECK120015458
ECK120034149	ECK120015447
ECK120034151	ECK120048902
ECK120034167	ECK120010871
ECK120034536	ECK120015461
ECK120034537	ECK120015461
ECK120034538	ECK120015461
ECK120034540	ECK120034551
ECK120034931	ECK120034948
ECK120034932	ECK120010876
ECK120034934	ECK120034957
ECK120035084	ECK120035131
