# Table: REGULONFUNCPROMOTER_LINK_TMP
# Columns:
# 1) REGULON_FUNCTION_ID
# 2) PROMOTER_ID
ECK12R000074	ECK120009842
ECK12R000076	ECK120009845
ECK12R000078	ECK120009847
ECK12R000078	ECK120009846
ECK12R000078	ECK125135049
ECK12R000078	ECK120033732
ECK12R000078	ECK120010665
ECK12R000078	ECK120010427
ECK12R000078	ECK120010423
ECK12R000078	ECK120010315
ECK12R000078	ECK120010213
ECK12R000078	ECK120010188
ECK12R000078	ECK125135056
ECK12R000078	ECK125095432
ECK12R000078	ECK125135036
ECK12R000078	ECK125135027
ECK12R000078	ECK125135026
ECK12R000078	ECK125135024
ECK12R000078	ECK120010114
ECK12R000078	ECK120010041
ECK12R000078	ECK120010040
ECK12R000080	ECK120010577
ECK12R000080	ECK120010522
ECK12R000080	ECK120010534
ECK12R000080	ECK120009848
ECK12R000082	ECK120009852
ECK12R000084	ECK120009855
ECK12R000086	ECK125138123
ECK12R000086	ECK120029862
ECK12R000086	ECK120029864
ECK12R000086	ECK120029866
ECK12R000086	ECK120029867
ECK12R000086	ECK120035128
ECK12R000086	ECK120010514
ECK12R000086	ECK120010558
ECK12R000086	ECK120010004
ECK12R000086	ECK120009990
ECK12R000086	ECK120009967
ECK12R000086	ECK120009966
ECK12R000086	ECK120010560
ECK12R000086	ECK120015953
ECK12R000086	ECK120029861
ECK12R000086	ECK120009856
ECK12R000086	ECK120034191
ECK12R000086	ECK120010879
ECK12R000088	ECK120009858
ECK12R000090	ECK120009859
ECK12R000092	ECK120009860
ECK12R000094	ECK120009861
ECK12R000096	ECK120009862
ECK12R000098	ECK120009863
ECK12R000100	ECK120009867
ECK12R000100	ECK120009864
ECK12R000102	ECK120009865
ECK12R000102	ECK120010458
ECK12R000102	ECK120009870
ECK12R000102	ECK120009868
ECK12R000102	ECK120009872
ECK12R000104	ECK120010418
ECK12R000104	ECK120010233
ECK12R000104	ECK120010232
ECK12R000104	ECK125240996
ECK12R000104	ECK120009943
ECK12R000104	ECK120009942
ECK12R000104	ECK120009874
ECK12R000106	ECK120009879
ECK12R000108	ECK120009954
ECK12R000108	ECK120009880
ECK12R000108	ECK120010649
ECK12R000108	ECK120010650
ECK12R000108	ECK125135038
ECK12R000110	ECK120009881
ECK12R000112	ECK120009883
ECK12R000112	ECK120010444
ECK12R000112	ECK120033251
ECK12R000112	ECK120010174
ECK12R000112	ECK120010443
ECK12R000114	ECK125145768
ECK12R000114	ECK120015158
ECK12R000114	ECK120010475
ECK12R000114	ECK120009884
ECK12R000116	ECK120009885
ECK12R000118	ECK120010616
ECK12R000118	ECK120010613
ECK12R000118	ECK120010618
ECK12R000118	ECK120010611
ECK12R000118	ECK120010608
ECK12R000118	ECK120010071
ECK12R000118	ECK120010607
ECK12R000118	ECK120010606
ECK12R000118	ECK120010292
ECK12R000118	ECK120010387
ECK12R000118	ECK120010437
ECK12R000118	ECK120010604
ECK12R000118	ECK120010603
ECK12R000118	ECK120010601
ECK12R000118	ECK120010536
ECK12R000118	ECK120010586
ECK12R000118	ECK120010587
ECK12R000118	ECK120010588
ECK12R000118	ECK120010594
ECK12R000118	ECK120010595
ECK12R000118	ECK120010589
ECK12R000118	ECK120010600
ECK12R000118	ECK120010598
ECK12R000118	ECK120010596
ECK12R000118	ECK120009886
